City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Lagos,NG,75.52,overcast clouds,6.5833,3.75,
463,Xacmaz,AZ,74.7,clear sky,41.4635,48.806,Ulduz Hotel
469,Conde,BR,74.66,clear sky,-7.2597,-34.9075,Pousada Beija Flor
471,Camalu,MX,72.73,broken clouds,30.85,-116.0667,La Cueva del Pirata
472,Marzuq,YE,79.93,broken clouds,14.4,46.4667,حيد القفلة
477,Zaozhuang,CN,70.2,broken clouds,34.8647,117.5542,Diaoyutai Hotel
478,San Juan Del Cesar,CO,77.95,overcast clouds,10.7711,-73.0031,Hotel Saraje
481,Tel Aviv-Yafo,IL,74.37,clear sky,32.0805,34.7805,Ben Yehuda apartments
483,Manta,EC,71.38,overcast clouds,-0.95,-80.7333,Balandra Hotel
486,Tautira,PF,77.13,light rain,-17.7333,-149.15,Pension Oaoa
488,Alofi,NU,78.69,clear sky,-19.0595,-169.9187,Taloa Heights
489,Khash,IR,80.76,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
490,Merauke,ID,83.32,broken clouds,-8.4667,140.3333,
492,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
494,Eyl,SO,78.75,broken clouds,7.9803,49.8164,Amiin Hotel
501,Kirakira,SB,82.78,broken clouds,-10.4544,161.9205,SanBiz Lodge
502,Makaha,US,82.31,broken clouds,21.4694,-158.2175,Hawaiian Princess Resort
504,Umm Kaddadah,SD,79.41,overcast clouds,13.6017,26.6876,
505,Kota,IN,78.4,light rain,25.1833,75.8333,Hotel Surya Royal
509,Port Keats,AU,83.44,scattered clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
510,Payakumbuh,ID,78.48,overcast clouds,-0.2202,100.6308,Dalimo Homestay
512,Yining,CN,79.97,overcast clouds,29.0361,114.5636,Xiushui Hotel
516,Amudat,UG,71.65,broken clouds,1.95,34.95,Silent Night Hotel
523,Birjand,IR,70.27,clear sky,32.8663,59.2211,Birjand Tourist Hotel
524,Carutapera,BR,77.02,clear sky,-1.195,-46.02,Lidera
525,Bolobo,CD,71.24,broken clouds,-2.1667,16.2333,Hotel de Stephen
527,Ugoofaaru,MV,82.85,few clouds,5.6667,73.0,Ungoofaaru Inn
528,Kanniyakumari,IN,84.06,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
529,Katsuura,JP,77.02,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
533,Le Moule,GP,78.84,broken clouds,16.3332,-61.3473,Lakaz Hananou
534,Pandhurna,IN,71.47,overcast clouds,21.6,78.5167,Hotel Aditya Residency
535,Vanimo,PG,83.97,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
538,Inhambane,MZ,73.38,scattered clouds,-23.865,35.3833,Oceano
539,Nongstoin,IN,70.0,overcast clouds,25.5167,91.2667,P.W.D. Inspection Bungalow
546,Bowen,AU,79.75,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
547,Benghazi,LY,74.14,broken clouds,32.1167,20.0667,Tibesti Hotel
550,Avera,US,76.51,clear sky,33.194,-82.5271,
552,Hami,CN,80.94,few clouds,42.8,93.45,Laoyutang Resort
556,Tura,IN,80.65,light rain,25.5198,90.2201,Hotel RIKMAN Continental
557,Cosala,MX,72.84,broken clouds,24.4125,-106.6908,Hotel Real del Conde
559,Curup,ID,80.1,overcast clouds,-3.4667,102.5333,Ayi The Costel
560,Sambava,MG,71.73,overcast clouds,-14.2667,50.1667,Melrose
562,Kayes,ML,72.57,broken clouds,14.0,-11.0,
572,Kourou,GF,75.25,clear sky,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
573,Yichang,CN,79.97,light rain,30.7144,111.2847,Gezhouba Hotel
577,Salamiyah,SY,70.25,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
578,Koungou,YT,78.51,scattered clouds,-12.7336,45.2042,Villa Netibor
579,Nara,JP,74.91,heavy intensity rain,34.6851,135.8049,Guesthouse Nara Komachi
581,Sitges,ES,71.24,clear sky,41.2351,1.8119,URH Sitges Playa
584,Balkhash,KZ,74.01,clear sky,46.844,74.9804,Family
587,Anjangaon,IN,73.13,overcast clouds,21.1631,77.3094,Shivam Lodge
588,Sinnamary,GF,77.95,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
590,Alizai,PK,82.6,clear sky,33.5383,70.3462,Alizai Rest House
591,Manicore,BR,75.15,scattered clouds,-5.8092,-61.3003,Hotel Durval
592,Bangui,CF,71.78,light rain,4.3612,18.555,SAM HOTEL
598,Umm Lajj,SA,84.88,clear sky,25.0213,37.2685,Moon light Furnished Units
600,Altay,CN,73.44,overcast clouds,47.8667,88.1167,Jinqiao Hotel
602,Saint-Paul,RE,77.11,clear sky,-21.0096,55.2707,Boucan Canot
605,Liuzhou,CN,83.41,broken clouds,24.3126,109.3892,Linjiang Inn
606,Ranong,TH,84.13,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
607,Omboue,GA,76.15,light rain,-1.5746,9.2618,Hotel Olako
608,Tokuyama,JP,80.22,overcast clouds,34.05,131.8167,Toyoko INN Tokuyama eki Shinkansenguchi
612,Tera,NE,82.54,scattered clouds,14.0078,0.7531,Hotel Daressalam Téra
617,Wuxue,CN,80.76,overcast clouds,29.8506,115.5525,Wuxue Station Hostel
618,Gizo,SB,84.0,overcast clouds,-8.103,156.8419,Imagination Island
620,Matongo,TZ,72.9,overcast clouds,-2.3833,34.0833,
624,Birin,NP,70.52,overcast clouds,26.8865,88.0718,Sangam Hospitality
634,Nioro,GM,72.9,overcast clouds,13.35,-15.75,
636,Abu Samrah,SY,71.02,clear sky,35.3029,37.1841,
637,Houma,US,80.6,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
641,Sakakah,SA,72.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
644,Sorong,ID,84.42,few clouds,-0.8833,131.25,Waigo Splash Hotel
648,Ormara,PK,80.92,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
649,Itaparica,BR,76.93,scattered clouds,-12.8883,-38.6786,Pousada Nel Blu
652,Progreso,MX,77.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
653,Nouakchott,MR,78.73,light rain,18.0858,-15.9785,HOTEL IMAN
654,Morondava,MG,77.5,scattered clouds,-20.2833,44.2833,La Case Bambou
657,Muborak,UZ,82.87,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
658,Seoul,KR,70.99,scattered clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
663,Binga,ZW,74.84,few clouds,-17.6203,27.3414,Lakeview Inn Binga
665,Kinkala,CG,70.41,broken clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
667,Bumba,CD,70.56,overcast clouds,2.1833,22.4667,Père Carlos
