City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
193,Anadyr,RU,64.75,177.4833,27.1,100,75,20.13,broken clouds
194,Abnub,EG,27.2696,31.1511,48.85,60,0,6.69,clear sky
195,Havoysund,NO,70.9963,24.6622,35.83,75,100,23.44,light rain
196,Elat,IL,29.5581,34.9482,57.04,41,20,0.0,few clouds
197,Cabo San Lucas,MX,22.8909,-109.9124,70.52,75,100,4.61,light rain
198,Hovd,MN,48.0056,91.6419,-1.53,78,100,1.61,overcast clouds
199,Chokurdakh,RU,70.6333,147.9167,0.12,97,100,6.26,light snow
200,San Pedro,PH,14.35,121.0167,84.31,66,20,6.91,few clouds
201,Amapa,BR,1.0,-52.0,70.7,99,100,1.99,light rain
202,Umm Kaddadah,SD,13.6017,26.6876,68.95,19,31,18.01,scattered clouds
203,Mporokoso,ZM,-9.3727,30.125,58.91,94,31,1.41,scattered clouds
204,Ossora,RU,59.2353,163.0719,20.91,85,100,3.67,overcast clouds
205,Finschhafen,PG,-6.6024,147.8681,85.59,73,57,8.75,broken clouds
206,Oriximina,BR,-1.7656,-55.8661,73.35,92,100,2.66,overcast clouds
207,Timra,SE,62.487,17.3257,13.68,92,40,3.44,scattered clouds
208,Black Forest,US,39.0131,-104.7008,17.96,72,0,8.05,clear sky
209,Goderich,CA,43.7501,-81.7165,18.91,67,100,16.11,overcast clouds
210,Torbay,CA,47.6666,-52.7314,31.39,93,100,6.91,snow
211,Dudinka,RU,69.4058,86.1778,4.62,94,99,14.58,overcast clouds
212,Dhidhdhoo,MV,6.8833,73.1,80.37,74,100,11.16,overcast clouds
213,Lodja,CD,-3.4833,23.4333,68.72,98,100,5.75,overcast clouds
214,Manbij,SY,36.5281,37.9549,40.08,90,100,6.04,overcast clouds
215,Mandvi,IN,22.8333,69.3667,62.02,67,8,16.13,clear sky
216,Bethel,US,41.3712,-73.414,29.93,59,0,5.75,clear sky
217,Kamenka,RU,51.3223,42.7678,28.83,97,100,8.99,light snow
218,Muros,ES,42.7762,-9.0603,44.1,85,10,12.39,clear sky
219,Durango,MX,24.8333,-104.8333,55.78,45,15,8.14,few clouds
220,Necochea,AR,-38.5473,-58.7368,65.98,81,100,10.85,light rain
221,Ust-Maya,RU,60.4167,134.5333,-26.59,92,100,4.14,overcast clouds
222,Atar,MR,20.5169,-13.0499,66.22,22,61,5.23,broken clouds
223,Bardiyah,LY,31.7561,25.0865,51.98,76,31,25.05,light rain
